Reference, Quantity, Value, Footprint, Datasheet, Mfg Name, Mfg PN, Link
C1 C4 ,2,10uF,openLagerFootprints:C_0402,http://datasheet.octopart.com/CL05A106MP5NUNC-Samsung-datasheet-34153002.pdf,Samsung,CL05A106MP5NUNC,https://octopart.com/cl05a106mp5nunc-samsung-22457395
C5 ,1,1uF,openLagerFootprints:C_0402,http://datasheet.octopart.com/GRM-Series-Murata-datasheet-family-27.pdf,Murata,GRM155R70J105MA12D,https://octopart.com/grm155r70j105ma12d-murata-23261089
C6 ,1,4.7uF,openLagerFootprints:C_0402,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2015/08/14/S_CL05A475MQ5NQNC.pdf,Samsung,CL05A475MQ5NQNC,https://octopart.com/cl05a475mq5nqnc-samsung-24957780
C3 C7 C8 ,3,0.1uF,openLagerFootprints:C_0402,http://datasheet.octopart.com/GRM155R70J104KA01D-Murata-datasheet-14400549.pdf,Murata,GRM155R70J104KA01D,https://octopart.com/grm155r70j104ka01d-murata-17930200
D1 ,1,LG L29K-F2J1-24,openLagerFootprints:LED_0603,http://datasheet.octopart.com/LG-L29K-F2J1-24-Osram-datasheet-41480516.pdf,Osram Opto,LG L29K-F2J1-24,https://octopart.com/lg+l29k-f2j1-24-osram+opto-31119809
D2 ,1,LS L29K-G1J2-1-Z,openLagerFootprints:LED_0603,http://datasheet.octopart.com/Q65110A1757-Osram-Opto-datasheet-31819788.pdf,Osram Opto,LS L29K-G1J2-1-Z,https://octopart.com/ls+l29k-g1j2-1-z-osram+opto-31093939
J1 ,1,CONN_01X06,openLagerFootprints:Socket_Strip_Straight_1x06,DNP,DNP,DNP,DNP
J2 ,1,DM3CS-SF,openLagerFootprints:HRS_DM3CS-SF,http://datasheet.octopart.com/DM3CS-SF-Hirose-datasheet-62290579.pdf,Hirose,DM3CS-SF,https://octopart.com/dm3cs-sf-hirose-44525751
R1 R3 R4 ,3,10k,openLagerFootprints:R_0402,http://datasheet.octopart.com/RC0402JR-0710KL-Yageo-datasheet-10408619.pdf,Yageo,RC0402JR-0710KL,https://octopart.com/rc0402jr-0710kl-yageo-55458470
R12 R13 ,2,330R,openLagerFootprints:R_0402,http://datasheet.octopart.com/RC0402JR-07330RL-Yageo-datasheet-10408619.pdf,Yageo,RC0402JR-07330RL,https://octopart.com/rc0402jr-07330rl-yageo-40021082
R2 ,1,DNP,openLagerFootprints:R_0402,DNP,DNP,DNP,DNP
R5 R6 R7 R8 ,4,22R,openLagerFootprints:R_0402,http://datasheet.octopart.com/RC0402JR-0722RL-Yageo-datasheet-10408619.pdf,Yageo,RC0402JR-0722RL,https://octopart.com/rc0402jr-0722rl-yageo-1173206
R10 R9 ,2,47k,openLagerFootprints:R_0402,http://datasheet.octopart.com/RC0402JR-0747KL-Yageo-datasheet-10408619.pdf,Yageo,RC0402JR-0747KL,https://octopart.com/rc0402jr-0747kl-yageo-39834460
TP1 ,1,TEST_1P,openLagerFootprints:Socket_Strip_Straight_1x01,DNP,DNP,DNP,DNP
TP2 TP3 ,2,TEST_1P,openLagerFootprints:TP,DNP,DNP,DNP,DNP
U1 ,1,STM32F411CEUx,openLagerFootprints:QFN-48-1EP_7x7mm_Pitch0.5mm,http://datasheet.octopart.com/STM32F411CEU6-STMicroelectronics-datasheet-27102711.pdf,ST Microelectronics,STM32F411CEU6,https://octopart.com/stm32f411ceu6-stmicroelectronics-47202664
U2 ,1,SPX3819M5-L-3-3,openLagerFootprints:SOT95P280X145-5N,http://datasheet.octopart.com/SPX3819M5-L-3-3-TR-Exar-datasheet-13046336.pdf,Exar,SPX3819M5-L-3-3/TR,https://octopart.com/spx3819m5-l-3-3%2Ftr-exar-9290124
Y1 ,1,CSTCE8M00G15L99,openLagerFootprints:X3-SMD-3.6X1.3X0.8MM,http://datasheet.octopart.com/CSTCE8M00G15L99-R0-Murata-datasheet-13544362.pdf,Murata,CSTCE8M00G15L99-R0,https://octopart.com/cstce8m00g15l99-r0-murata-17751576
